site_name,nwis_id,nhdplus_id,long_name,lat,lon,coord_datum,alt,alt_datum,site_type,dvqcoefs.c,dvqcoefs.f,dvqcoefs.a,dvqcoefs.b,dvqcoefs.k,dvqcoefs.m,struct.canal_flag,struct.dam_flag,struct.npdes_flag
nwis_01208500,1208500,7718060,"NAUGATUCK RIVER AT BEACON FALLS, CT",41.4423,-73.0622833,NAD83,117.28,NGVD29,ST,0.370804302,0.445054203,27.86269344,0.124945797,0.096790368,0.43,95,80,80
nwis_01208990,1208990,7731665,"SAUGATUCK RIVER NEAR REDDING, CT",41.29454,-73.39512029,NAD83,285.42,NGVD29,ST,0.446962245,0.441515337,10.15308613,0.158484663,0.220359151,0.4,95,95,95
nwis_01382210,1382210,6246352,Pequannock River at Oak Ridge NJ,41.0397222,-74.5016667,NAD83,790,NAVD88,ST,0.352146091,0.441088862,11.00690048,0.148911138,0.257995475,0.41,95,0,95
nwis_01388000,1388000,6250614,Ramapo River at Pompton Lakes NJ,40.99194444,-74.28,NAD83,171.35,NGVD29,ST,0.300181249,0.482303882,23.92143576,0.127696118,0.1392609,0.39,95,0,50
nwis_01389005,1389005,6251122,Passaic River below Pompton Riv at Two Bridges NJ,40.89638889,-74.2691667,NAD83,155,NGVD29,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA
nwis_01400500,1400500,9513852,Raritan River at Manville NJ,40.55555556,-74.58277778,NAD83,20.61,NGVD29,ST,0.227686302,0.542013671,41.32078056,0.107986329,0.106290532,0.35,0,0,50
nwis_01408500,1408500,9453743,Toms River near Toms River NJ,39.98638889,-74.2233333,NAD83,8.1,NGVD29,ST,0.324824691,0.478097359,21.82151669,0.131902641,0.141080189,0.39,50,0,50
nwis_01433500,1433500,4150156,MONGAUP RIVER NEAR MONGAUP NY,41.46138889,-74.75888889,NAD83,625.05,NGVD29,ST,0.260485653,0.534799942,25.96729861,0.135200058,0.147839137,0.33,95,0,50
nwis_01454700,1454700,4188251,"Lehigh River at Glendon, PA",40.6692656,-75.23628808,NAD83,164.3,NGVD29,ST,0.209086733,0.500460433,78.13507034,0.059539567,0.061210724,0.44,95,0,95
nwis_01458500,1458500,2588507,Delaware River at Frenchtown NJ,40.5261111,-75.065,NAD83,99.88,NGVD29,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA
nwis_01460200,1460200,932040295,"Delaware R below Tohickon Cr at Point Pleasant, PA",40.41843797,-75.0612817,NAD83,NA,NA,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA
nwis_01463500,1463500,2590277,Delaware River at Trenton NJ,40.22166667,-74.7780556,NAD83,0,NGVD29,ST,1.013738462,0.209229008,18.97180279,0.330770992,0.051995466,0.46,0,0,0
nwis_014670261,14670261,4488286,"Delaware River nr Pennypack Woods, PA",40.0385,-74.9936111,NAD83,10,NGVD29,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA
nwis_01467200,1467200,4495952,Delaware R at Ben Franklin Bridge at Philadelphia,39.95400165,-75.1373987,NAD83,NA,NA,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA
nwis_01472104,1472104,4782471,"Schuylkill River at Vincent Dam at Linfield, PA",40.20621166,-75.5654631,NAD83,NA,NA,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA
nwis_01473500,1473500,4782501,"Schuylkill River at Norristown, PA",40.11121934,-75.3468502,NAD83,51,NGVD29,ST,0.206005576,0.521858767,95.1791829,0.048141233,0.051001042,0.43,95,0,0
nwis_01474500,1474500,4784831,"Schuylkill River at Philadelphia, PA",39.9678905,-75.1885123,NAD83,5.74,NGVD29,ST,0.16773201,0.571778095,99.0794425,0.048221905,0.060172838,0.38,95,0,50
nwis_01477050,1477050,4496300,"Delaware River at Chester, PA",39.84555556,-75.3508333,NAD83,NA,NA,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA
nwis_01480617,1480617,4650580,"West Branch Brandywine Creek at Modena, PA",39.9617734,-75.8013341,NAD83,262.52,NAVD88,ST,0.376308115,0.472613749,15.39767542,0.147386251,0.172584288,0.38,95,95,0
nwis_01480870,1480870,4650548,"East Branch Brandywine Creek below Downingtown, PA",39.9687191,-75.6732715,NAD83,195,NGVD29,ST,0.354663231,0.464437605,18.90009209,0.135562395,0.149183198,0.4,95,95,0
nwis_01481000,1481000,4652046,"Brandywine Creek at Chadds Ford, PA",39.8698328,-75.5932623,NAD83,150.45,NGVD29,ST,0.272405617,0.535660077,31.97225885,0.124339923,0.11481817,0.34,95,0,50
nwis_01481500,1481500,4655440,"BRANDYWINE CREEK AT WILMINGTON, DE",39.7695,-75.5766944,NAD83,67.17,NAVD88,ST,0.323099012,0.456355567,34.80260831,0.103644433,0.088930877,0.44,95,50,95
nwis_01484085,1484085,8075804,"MURDERKILL RIVER AT BOWERS, DE",39.05830556,-75.3976111,NAD83,0,NAVD88,ST-TS,0.384956431,0.489044044,20.12593943,0.140955956,0.129072065,0.37,NA,NA,NA
nwis_01484525,1484525,8407597,"MILLSBORO POND OUTLET AT MILLSBORO, DE",38.59455556,-75.29102778,NAD83,1.19,NAVD88,ST,0.353838856,0.543189543,15.95513443,0.166810457,0.17713077,0.29,0,0,95
nwis_01487150,1487150,8391556,"BUCKS BRANCH NEAR ATLANTA, DE",38.6914722,-75.63488889,NAD83,24.23,NAVD88,ST,0.570842258,0.472192969,5.421563575,0.187807031,0.323116644,0.34,95,95,95
nwis_01493112,1493112,4765418,"CHESTERVILLE BRANCH NEAR CRUMPTON, MD",39.25705556,-75.94013889,NAD83,1.21,NAVD88,ST,0.507869902,0.457272075,7.152538575,0.172727925,0.275288022,0.37,95,95,95
nwis_01540500,1540500,2604977,"Susquehanna River at Danville, PA",40.95814218,-76.6191222,NAD83,431.29,NGVD29,ST,1.138865254,0.210832293,16.35906988,0.379167707,0.053674629,0.41,80,0,0
nwis_01542500,1542500,4672391,"WB Susquehanna River at Karthaus, PA",41.11755906,-78.108896,NAD83,830.59,NGVD29,ST,0.227155663,0.495113209,83.83052434,0.054886791,0.052513897,0.45,95,95,95
nwis_01544500,1544500,8134650,"Kettle Creek at Cross Fork, PA",41.4758994,-77.8258251,NAD83,1027.12,NGVD29,ST,0.331831369,0.464040217,22.97141417,0.125959783,0.131188217,0.41,95,95,95
nwis_01548303,1548303,8143294,"Straight Run, Site 1, at Marsh Creek, PA",41.78479405,-77.4019232,NAD83,1220,NGVD29,ST,0.523003235,0.464935896,7.365673533,0.175064104,0.259587131,0.36,95,95,95
nwis_01549700,1549700,8145248,"Pine Creek bl L Pine Creek near Waterville, PA",41.273683,-77.32414028,NAD83,570.62,NGVD29,ST,0.258286276,0.495788765,63.50162081,0.074211235,0.060969672,0.43,95,0,95
nwis_01567000,1567000,4699925,"Juniata River at Newport, PA",40.47841677,-77.1291484,NAD83,363.93,NGVD29,ST,0.189892014,0.540731576,160.3620789,0.009268424,0.032839128,0.45,0,95,95
nwis_01570500,1570500,4710000,"Susquehanna River at Harrisburg, PA",40.25481164,-76.8860846,NAD83,290.01,NGVD29,ST,1.801682315,0.161975248,19.11069732,0.368024752,0.029043252,0.47,0,0,0
nwis_01608500,1608500,8420360,"SOUTH BRANCH POTOMAC RIVER NEAR SPRINGFIELD, WV",39.44703879,-78.6541817,NAD83,561.41,NAVD88,ST,0.281667518,0.51315343,85.90173031,0.05684657,0.041329611,0.43,95,95,80
nwis_01611500,1611500,8431736,"CACAPON RIVER NEAR GREAT CACAPON, WV",39.5823158,-78.3097312,NAD83,456.6,NAVD88,ST,0.34759851,0.492919533,53.96233183,0.087080467,0.053312787,0.42,95,95,95
nwis_01632900,1632900,8441303,"SMITH CREEK NEAR NEW MARKET, VA",38.69345016,-78.6427935,NAD83,880.84,NAVD88,ST,0.462815525,0.473069692,20.95477186,0.136930308,0.103111984,0.39,95,95,95
nwis_01645704,1645704,4509120,"DIFFICULT RUN ABOVE FOX LAKE NEAR FAIRFAX, VA",38.88469518,-77.3324293,NAD83,296.4,NAVD88,ST,0.510145917,0.449735268,7.071614913,0.170264732,0.277196015,0.38,95,95,95
nwis_01645762,1645762,4509040,"S F LITTLE DIFFICULT RUN ABOVE MOUTH NR VIENNA, VA",38.90888916,-77.3382627,NAD83,275.16,NAVD88,ST,0.526868017,0.435943219,5.115035327,0.174056781,0.371064602,0.39,95,0,95
nwis_01646000,1646000,4509202,"DIFFICULT RUN NEAR GREAT FALLS, VA",38.97594346,-77.24581439,NAD83,150.94,NAVD88,ST,0.427872932,0.442801404,16.39778352,0.137198596,0.14252795,0.42,95,50,95
nwis_01646305,1646305,4508904,"DEAD RUN AT WHANN AVENUE NEAR MCLEAN, VA",38.95977716,-77.1756743,NAD83,177.18,NAVD88,ST,0.562682455,0.435722575,5.187370026,0.174277425,0.342601609,0.39,95,95,95
nwis_01646500,1646500,4512772,"POTOMAC RIVER NEAR WASH, DC LITTLE FALLS PUMP STA",38.94977778,-77.12763889,NAD83,37.2,NAVD88,ST,1.248060906,0.206184881,18.84795241,0.373815119,0.042510875,0.42,0,0,0
nwis_01648010,1648010,22338431,"ROCK CREEK AT JOYCE RD WASHINGTON, DC",38.96016667,-77.0420556,NAD83,136.78,NAVD88,ST,0.424008958,0.459873659,17.32274186,0.140126341,0.136147081,0.4,95,80,50
nwis_01649190,1649190,22336379,"PAINT BRANCH NEAR COLLEGE PARK, MD",39.03313889,-76.96427778,NAD83,150.57,NAVD88,ST,0.474267369,0.44111725,9.016078641,0.15888275,0.233861679,0.4,95,95,50
nwis_01649500,1649500,22337975,"NORTHEAST BRANCH ANACOSTIA RIVER AT RIVERDALE, MD",38.96025,-76.9259722,NAD83,11.92,NAVD88,ST,0.389747581,0.477084805,17.87632797,0.142915195,0.143528537,0.38,95,0,50
nwis_01650800,1650800,22338427,"SLIGO CREEK NEAR TAKOMA PARK, MD",38.9862222,-77.0048611,NAD83,161.27,NAVD88,ST,0.498973573,0.436342568,7.39897305,0.163657432,0.270863827,0.4,95,80,95
nwis_0165389205,165389205,22338713,"ACCOTINK CREEK NEAR RANGER ROAD AT FAIRFAX, VA",38.86624167,-77.2863833,NAD83,295.61,NAVD88,ST,0.524402116,0.44575335,5.877617404,0.17424665,0.324439895,0.38,NA,NA,NA
nwis_01654000,1654000,22340331,"ACCOTINK CREEK NEAR ANNANDALE, VA",38.81289066,-77.2283158,NAD83,191.24,NGVD29,ST,0.448878246,0.462149497,11.35777491,0.157850503,0.196145425,0.38,95,95,50
nwis_01654500,1654500,22340329,"LONG BRANCH NEAR ANNANDALE, VA",38.8109462,-77.2349827,NAD83,190.64,NAVD88,ST,0.524318481,0.438206557,5.768414556,0.171793443,0.330634654,0.39,95,95,95
nwis_01656903,1656903,22338645,"FLATLICK BRANCH ABOVE FROG BRANCH AT CHANTILLY, VA",38.8823899,-77.4319047,NAD83,256.8,NAVD88,ST,0.533334426,0.445675465,5.892977241,0.174324535,0.318174682,0.38,95,95,95
nwis_01658000,1658000,4529063,"MATTAWOMAN CREEK NEAR POMONKEY, MD",38.59613889,-77.05602778,NAD83,39.76,NAVD88,ST,0.449013454,0.449721581,16.25686663,0.140278419,0.136994712,0.41,95,80,80
nwis_01668000,1668000,8476948,"RAPPAHANNOCK RIVER NEAR FREDERICKSBURG, VA",38.30846178,-77.52915268,NAD83,70,NGVD29,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA
nwis_0166818623,166818623,8476452,"MILL CREEK ABV PEUMANSEND CREEK NR PORT ROYAL, VA",38.1296111,-77.2321667,NAD83,36.78,NAVD88,ST,0.495802849,0.456768423,9.527101707,0.163231577,0.211704544,0.38,NA,NA,NA
nwis_0166818985,166818985,8476832,"MILL CREEK BLW PEUMANSEND CREEK NR PORT ROYAL, VA",38.12894444,-77.2235,NAD83,31.55,NAVD88,ST,0.467184574,0.45748825,12.76695968,0.15251175,0.167657899,0.39,NA,NA,NA
nwis_01673000,1673000,8506380,"PAMUNKEY RIVER NEAR HANOVER, VA",37.76764189,-77.3322018,NAD83,13.88,NAVD88,ST,0.248454761,0.561971863,68.65697596,0.078028137,0.058622995,0.36,95,50,50
nwis_02035000,2035000,8575903,"JAMES RIVER AT CARTERSVILLE, VA",37.67097957,-78.0858328,NAD83,163.9,NGVD29,ST,1.045410572,0.215645855,20.80384477,0.334354145,0.045980057,0.45,95,0,80
nwis_02042222,2042222,10067525,"JAMES RIVER ABV WEYANOKE POINT NR CHARLES CITY, VA",37.2923611,-77.0787222,NAD83,0,NAVD88,ST-TS,1.101412739,0.21970656,18.52229322,0.37029344,0.049017951,0.41,NA,NA,NA
nwis_0205551460,205551460,8627197,"LICK RUN ABOVE PATTON AVENUE AT ROANOKE, VA",37.27794444,-79.9375556,NAD83,914.84,NAVD88,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA
nwis_02079500,2079500,12049360,"ROANOKE RIVER AT BUGGS ISLAND, VA",36.60319824,-78.2977743,NAD83,196.72,NGVD29,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA
nwis_0208062765,208062765,10451300,"ROANOKE RIVER AT HALIFAX, NC",36.3311111,-77.58027778,NAD83,0,NGVD29,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA
nwis_02081022,2081022,10451504,"ROANOKE RIVER NEAR OAK CITY, NC",36.0136111,-77.21527778,NAD83,0,NGVD29,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA
nwis_02081094,2081094,10452322,"ROANOKE RIVER AT JAMESVILLE, NC",35.81305556,-76.89277778,NAD83,0,NGVD29,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA
nwis_0208114150,208114150,10455800,"ROANOKE RIVER AT NC 45 NR WESTOVER, NC",35.915,-76.72277778,NAD83,0,NGVD29,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA
nwis_0209303205,209303205,10519332,"NEW RIVER BELOW HWY17 BRIDGE AT JACKSONVILLE, NC",34.74888889,-77.43777778,NAD83,0,NAVD88,ST,0.367486719,0.511080317,13.59351627,0.168919683,0.200182699,0.32,NA,NA,NA
nwis_02101726,2101726,8869974,"ROCKY R AT US 64 NEAR SILER CITY, NC",35.73514055,-79.4230754,NAD83,482.9,NAVD88,ST,0.485509106,0.446698026,11.45575635,0.153301974,0.179795514,0.4,95,80,95
nwis_02110400,2110400,9069012,"BUCK CREEK NEAR LONGS, SC",33.953505,-78.71973988,NAD83,NA,NA,ST,0.439893277,0.534398843,10.01547949,0.185601157,0.226976518,0.28,0,95,95
nwis_02110500,2110500,9069040,"WACCAMAW RIVER NEAR LONGS, SC",33.9126719,-78.7150175,NAD83,5.28,NGVD29,ST,0.319304045,0.501871289,27.25530764,0.138128711,0.114906472,0.36,0,50,0
nwis_02110550,2110550,9069104,"WACCAMAW RIVER ABOVE CONWAY, SC",33.8508333,-78.8972222,NAD83,NA,NA,ST-TS,0.312533857,0.503742145,28.36402989,0.136257855,0.112806726,0.36,0,0,0
nwis_02110701,2110701,9071598,"CRABTREE SWAMP AT CONWAY, SC",33.86100349,-79.0411471,NAD83,10,NGVD29,ST,0.542351922,0.551935335,7.727628504,0.198064665,0.238601177,0.25,95,95,95
nwis_02110704,2110704,9071758,"WACCAMAW RIVER AT CONWAY MARINA AT CONWAY, SC",33.8329481,-79.0436473,NAD83,-5.06,NGVD29,ST,0.304507537,0.506353629,29.92703058,0.133646371,0.109733271,0.36,0,0,0
nwis_02110777,2110777,11562016,"AIW AT HIGHWAY 9 AT NIXONS CROSSROADS, SC",33.8515612,-78.6558483,NAD83,-11.72,NGVD29,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA
nwis_02110802,2110802,9071840,"WACCAMAW RIVER AT BUCKSPORT, SC",33.64905837,-79.09420639,NAD83,-14.36,NGVD29,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA
nwis_02110815,2110815,9073938,"WACCAMAW R NR HAGLEY LAND. NR PAWLEYS ISLAND, SC",33.44461245,-79.1739341,NAD83,-14.14,NGVD29,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA
nwis_0212378405,212378405,9211976,"PEE DEE R AT HWY731 BL LK TILLERY NR NORWOOD, NC",35.20066667,-80.0618056,NAD83,197.45,NAVD88,ST,0.313161894,0.467882649,56.0707088,0.082117351,0.056950172,0.45,95,0,0
nwis_0212880025,212880025,9167934,"PEE DEE RIVER BELOW POWERHOUSE DAM NR PEE DEE, NC",34.9834833,-79.8775806,NAD83,119.99,NAVD88,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA
nwis_02135000,2135000,9114416,"LITTLE PEE DEE R. AT GALIVANTS FERRY, SC",34.05710829,-79.2469897,NAD83,23.95,NGVD29,ST,0.362212684,0.457919162,43.01083354,0.102080838,0.064188686,0.44,0,0,0
nwis_02148315,2148315,9721817,"WATEREE R. BL EASTOVER, SC",33.82848933,-80.6203645,NAD83,77.43,NGVD29,ST,0.233125337,0.519832474,60.26438572,0.080167526,0.071178657,0.4,0,0,0
nwis_02156500,2156500,9705130,"BROAD RIVER NEAR CARLISLE, SC",34.5951393,-81.4212089,NAD83,290.79,NGVD29,ST,0.337422272,0.449574174,42.20327833,0.100425826,0.070223111,0.45,95,0,80
nwis_02160105,2160105,9698941,"TYGER RIVER NEAR DELTA, SC",34.5354163,-81.548158,NAD83,300,NGVD29,ST,0.381953854,0.449458902,24.45555165,0.130541098,0.107056155,0.42,95,80,80
nwis_02160700,2160700,9691190,"ENOREE RIVER AT WHITMIRE, SC",34.5093039,-81.5981594,NAD83,300,NGVD29,ST,0.378074636,0.474409585,19.94288368,0.145590415,0.13262778,0.38,95,80,80
nwis_02160991,2160991,9707918,"BROAD RIVER NEAR JENKINSVILLE, SC",34.26070285,-81.3303747,NAD83,0,NGVD29,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA
nwis_02162035,2162035,9707984,"BROAD RIVER NEAR COLUMBIA, SC",34.0483333,-81.0733333,NAD83,-1,NAVD88,ST,0.300470408,0.464935349,60.24779436,0.075064651,0.055240442,0.46,0,0,0
nwis_02167600,2167600,9869876,"SALUDA R NEAR PROSPERITY, SC",34.09930647,-81.5684382,NAD83,350,NGVD29,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA
nwis_02167716,2167716,9869896,"LITTLE SALUDA R NEAR PROSPERITY, SC",34.0795843,-81.5617714,NAD83,350,NGVD29,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA
nwis_02168500,2168500,9869878,"LAKE MURRAY NEAR COLUMBIA, SC",34.052093,-81.22065329,NAD83,-0.64,NGVD29,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA
nwis_02168504,2168504,9869858,"SALUDA RIVER BELOW LK MURRAY DAM NR COLUMBIA, SC",34.0509822,-81.2095418,NAD83,170,NGVD29,ST,0.433136291,0.413464269,41.64279116,0.096535731,0.05544158,0.49,95,0,50
nwis_02169000,2169000,9869898,"SALUDA RIVER NEAR COLUMBIA, SC",34.0140416,-81.0878717,NAD83,149.46,NGVD29,ST,0.361413868,0.46305133,40.64636847,0.10694867,0.068072772,0.43,95,0,0
nwis_02171645,2171645,9660548,"REDIV CANAL AT SANTEE RIVER NR ST STEPHEN, SC",33.4275,-79.915,NAD83,0,NGVD29,ST,NA,NA,NA,NA,NA,NA,95,0,95
nwis_02172002,2172002,9643431,"LAKE MOULTRIE TAILRACE CANAL AT MONCKS CORNER, SC",33.21516925,-79.9745248,NAD83,NA,NA,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA
nwis_021720677,21720677,9645887,"COOPER RIVER @ FILBIN CREEK @ NORTH CHARLESTON, SC",32.89045228,-79.9628645,NAD83,0,NGVD29,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA
nwis_021720709,21720709,9629843,"COOPER RIVER AT U.S. HWY 17 AT CHARLESTON, SC",32.80239835,-79.9100869,NAD83,NA,NA,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA
nwis_02198840,2198840,20107171,"SAVANNAH RIVER (I-95) NEAR PORT WENTWORTH, GA",32.2357548,-81.1512239,NAD83,0,NAVD88,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA
nwis_02198920,2198920,20107245,"SAVANNAH RIVER AT GA 25, AT PORT WENTWORTH, GA",32.1660358,-81.1537237,NAD83,0,NAVD88,ST-TS,0.578483339,0.527055211,11.07062817,0.182944789,0.156148163,0.29,NA,NA,NA
nwis_02198950,2198950,20107201,"MIDDLE RIVER AT GA 25 AT PORT WENTWORTH, GA",32.16555556,-81.1383333,NAD83,0,NAVD88,ST-TS,0.206618959,0.5271549,89.29379522,0.0528451,0.054201156,0.42,NA,NA,NA
nwis_02198955,2198955,20107203,"MIDDLE RIVER AT \FISH HOLE\ AT PORT WENTWORTH, GA",32.14277778,-81.1352778,NAD83,0,NAVD88,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA
nwis_021989715,21989715,20107243,"SAVANNAH RIVER AT GARDEN CITY, GA",32.11576075,-81.1292789,NAD83,4.9,NGVD29,ST-TS,NA,NA,NA,NA,NA,NA,NA,NA,NA
nwis_021989773,21989773,20107225,"SAVANNAH RIVER AT USACE DOCK, AT SAVANNAH, GA",32.08104119,-81.081223,NAD83,0,NAVD88,ST-TS,0.20680565,0.527067304,89.57494455,0.052932696,0.053982259,0.42,NA,NA,NA
nwis_021989792,21989792,20107197,"LITTLE BACK RIVER AT GA 25 AT PORT WENTWORTH, GA",32.16583333,-81.13,NAD83,0,NAVD88,ST-TS,0.686068706,0.551395717,8.045076378,0.198604283,0.181176647,0.25,NA,NA,NA
nwis_021989793,21989793,20107211,"LITTLE BACK RIVER AT HOG ISLAND, NEAR SAVANNAH, GA",32.13666667,-81.1219444,NAD83,NA,NA,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA
nwis_0219897945,219897945,20107217,"BACK RIVER 0.4 MI DOWNSTREAM US17, NR SAVANNAH, GA",32.09777778,-81.0827778,NAD83,NA,NA,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA
nwis_0219897993,219897993,20107257,"SAVANNAH RIVER AT ELBA ISLAND, NEAR SAVANNAH, GA",32.10305556,-81.0069444,NAD83,0,NAVD88,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA
nwis_022035975,22035975,6321815,"HUDSON CREEK AT MERIDIAN LANDING, NEAR MERIDIAN,GA",31.45333333,-81.3627778,NAD83,0,NAVD88,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA
nwis_02203603,2203603,6333706,"SOUTH RIVER AT SPRINGDALE ROAD, AT ATLANTA, GA",33.68388889,-84.4152778,NAD83,847.2,NAVD88,ST,0.501284643,0.50406207,5.150073647,0.18593793,0.387348751,0.31,NA,NA,NA
nwis_02203655,2203655,6333720,"SOUTH RIVER AT FORREST PARK ROAD, AT ATLANTA, GA",33.67899706,-84.3579807,NAD83,778.5,NAVD88,ST,0.443215129,0.486656838,7.826825424,0.173343162,0.288270218,0.34,95,95,95
nwis_02203700,2203700,6334126,"INTRENCHMENT CR AT CONSTITUTION RD, NR ATLANTA, GA",33.6889966,-84.3304798,NAD83,787.92,NGVD29,ST,0.460271463,0.491524003,6.282176241,0.178475997,0.345840488,0.33,95,0,95
nwis_02203831,2203831,6333690,"DOOLITTLE CREEK AT FLAT SHOALS RD, NR DECATUR, GA",33.70566259,-84.29242299,NAD83,795,NGVD29,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA
nwis_02203863,2203863,6334112,"SHOAL CREEK AT COLUMBIA DRIVE NEAR ATLANTA, GA",33.69319444,-84.25388889,NAD83,744.1,NAVD88,ST,0.464451502,0.490898944,5.903944969,0.179101056,0.364684519,0.33,95,0,95
nwis_02203873,2203873,6334120,"COBBS CREEK AT RAINBOW DR, NEAR DECATUR, GA",33.7095512,-84.2393655,NAD83,793,NGVD29,ST,NA,NA,NA,NA,NA,NA,NA,NA,NA
nwis_02203900,2203900,6333752,"SOUTH RIVER AT FLAKES MILL ROAD NR ATLANTA, GA",33.66621924,-84.2246426,NAD83,717.75,NGVD29,ST,0.408212632,0.463456042,12.17977854,0.156543958,0.201128756,0.38,95,50,95
